,"Race/
Juneau,0,0,0,1,0,0,0,1,0,0,"2,703"
Kalamazoo County,2,0,0,0,0,0,0,1,0,1,
Kalispell,2,0,0,0,0,0,0,2,0,0,"23,243"
Kannapolis,1,0,0,0,0,0,0,1,0,0,"48,754"
Kansas City,34,5,6,0,1,1,6,19,16,6,"484,948"
Kansas State University,1,0,0,0,0,0,1,0,0,0,"23,779"
Kaufman,1,0,0,0,0,0,0,0,0,1,
Kaukauna,0,0,1,0,0,0,0,0,1,0,"15,969"
Kaysville,1,1,0,0,0,0,2,0,0,0,"31,873"
Keansburg,8,1,1,0,0,0,0,1,7,2,"9,782"
Kearney,1,0,0,0,0,0,0,0,0,1,"33,960"
Keene,0,1,0,0,0,0,0,0,0,1,"23,386"
Keene,2,0,0,0,0,0,1,1,0,0,"6,334"
Kellyville,0,0,1,0,0,0,0,0,0,1,"1,147"
Kelso,1,0,0,0,0,0,0,0,0,1,"12,070"
Kent,3,0,0,0,0,0,0,1,1,1,
Kent,13,2,0,0,0,0,5,5,3,2,"128,990"
Kent County,2,1,0,0,0,0,0,2,1,0,
Kent County,3,0,0,0,0,0,0,0,1,2,
Kenton County Police Department,1,0,0,0,0,0,0,0,1,0,
Kentucky State University,2,0,0,0,0,0,0,1,1,0,"1,736"
Kern,2,0,0,0,0,0,0,1,0,1,
Key Biscayne,0,0,1,0,0,0,1,0,0,0,"13,127"
Key West,0,0,1,0,0,0,1,0,0,0,"27,399"
Kimberly,2,0,0,0,0,0,0,0,1,1,"3,812"
King,4,0,0,0,0,0,3,1,0,,
King and Queen,1,0,0,0,0,0,1,0,0,0,
Kingfisher,2,0,0,0,0,0,0,1,0,1,
Kinnelon,1,0,0,0,0,0,0,1,0,0,"10,275"
Kirkland,4,1,0,0,0,0,1,2,1,1,"88,898"
Klamath Falls,3,1,1,0,0,0,3,0,0,2,"22,436"
Knott,0,1,0,0,0,0,0,0,0,1,
Knox,1,0,0,0,0,0,0,1,0,0,
Knox,2,0,0,0,0,0,0,0,1,1,
Knoxville,2,0,3,0,0,0,2,0,3,0,"187,539"
Kootenai,0,1,0,0,0,0,0,0,1,0,
La Canada Flintridge,0,0,0,0,3,0,0,0,3,0,"20,480"
La Center,0,0,1,0,0,0,1,0,0,0,982
La Crosse,1,0,0,0,0,0,0,0,1,0,"52,234"
La Grange,1,0,0,0,0,0,0,0,0,1,"8,831"
La Habra,1,0,0,0,0,0,1,0,0,0,"61,878"
La Mesa,1,0,1,0,0,0,0,0,2,0,"60,425"
Labette,1,0,0,0,0,0,0,1,0,0,
Lac Courtes Oreilles Tribal,1,0,1,0,0,0,1,0,1,0,
Lacey,1,0,0,0,1,0,0,2,0,0,"48,597"
Laclede,1,0,0,0,0,0,0,0,0,1,
Laconia,1,0,0,0,0,0,0,1,0,0,"16,616"
Lacy-Lakeview,1,0,0,0,0,0,0,1,0,0,"6,633"
Lafayette,0,1,0,0,0,0,0,0,1,0,"28,939"
Lafayette,8,0,1,0,0,0,2,5,,2,"72,274"
Lafourche,1,0,0,0,0,0,0,0,0,1,
Laguna Beach,2,0,0,0,0,0,1,0,1,0,"23,261"
Lake,0,1,1,0,0,0,0,0,0,2,
Lake,1,0,0,0,0,0,1,0,0,0,
Lake,0,1,0,0,0,0,1,0,0,0,
Lake City,1,0,0,0,0,0,1,0,0,0,"12,326"
Lake Elsinore,0,1,0,0,0,0,0,0,1,0,"66,136"
Lake Stevens,1,0,1,0,0,0,1,0,0,1,"32,288"
Lakeport,0,0,1,0,0,0,0,1,0,0,"4,775"
Lakeville,4,2,1,0,0,0,3,0,1,2,"62,958"
Lakewood,7,0,0,0,0,0,1,1,4,1,"81,317"
Lakewood,3,0,1,0,0,0,3,1,0,0,"156,344"
Lakewood,1,0,0,0,0,0,0,1,0,0,"61,080"
Lakewood Township,7,15,0,0,0,0,4,6,7,5,"102,759"
Lampasas,2,0,0,0,0,0,0,0,0,2,"7,910"
Lancaster,5,0,2,0,0,0,2,2,2,1,"160,653"
Lancaster,1,0,0,0,0,0,0,0,0,1,"40,026"
Lane,0,0,2,0,0,0,2,0,0,0,
Langston University,0,0,0,0,0,1,0,0,0,1,"2,420"
Lansing,10,0,2,0,0,0,2,2,6,2,"116,302"
Lansing Township,0,0,1,0,0,0,0,1,0,0,"8,150"
Lapeer,0,1,0,0,0,0,1,0,0,0,"8,735"
Lapeer,0,1,0,0,0,0,0,1,0,0,
Lapeer County,1,1,0,0,0,0,0,0,1,1,
Laramie,0,1,1,0,0,0,0,0,0,2,"32,632"
Largo,1,2,0,0,0,0,2,0,1,,"83,728"
Larimer,0,1,0,0,0,0,0,1,0,0,
Lauderdale-by-the-Sea,1,0,0,0,0,0,,,1,,"6,589"
Laurel,1,0,0,0,0,0,0,1,0,0,
Laurel,0,1,0,0,0,0,0,1,,,"25,997"
Laurens,1,0,0,0,0,0,0,0,0,1,"9,089"
Laurens,2,0,0,0,0,0,0,1,0,1,
Lawrence,2,1,0,0,0,0,0,1,2,0,"48,174"
"Lawrence Township, Mercer County",0,2,0,0,0,0,0,1,0,1,"32,929"
Lawrenceburg,2,0,0,0,0,0,0,1,0,1,"11,211"
Lawton,0,1,0,0,0,0,1,0,0,0,"94,134"
Layton,2,2,0,0,0,0,1,0,2,1,"77,048"
League City,3,0,0,0,0,0,1,1,0,1,"105,351"
Lebanon,5,0,0,0,0,0,1,2,2,0,"32,248"
Lee,4,1,1,0,0,0,2,3,0,1,
Lee's Summit,1,0,0,0,0,0,1,0,0,0,"96,855"
Leesburg,1,0,0,0,0,0,1,0,0,0,"22,763"
Leesburg,4,2,0,0,0,0,1,3,1,1,"54,393"
Leitchfield,1,0,0,0,0,0,0,0,1,0,"6,900"
Lemon Grove,1,0,0,0,0,0,0,0,0,1,"27,113"
Leon,1,0,0,0,0,0,1,0,0,0,
Leon Valley,2,0,0,0,0,0,,2,0,,"11,508"
Lewis,1,0,0,1,0,0,0,0,1,1,
Lewis County ,1,0,0,0,0,0,0,0,1,0,
Lewiston,3,0,0,0,0,0,0,1,1,1,"33,029"
Lewiston,1,0,0,0,0,0,0,0,0,1,"36,067"
Lexington,20,3,3,0,0,1,7,6,9,5,"322,332"
Lexington,0,1,0,0,0,0,0,0,1,0,"33,768"
Lexington County Medical Center,1,0,0,0,0,0,0,0,0,1,
Liberal,0,0,0,1,0,0,0,0,0,1,"20,317"
Liberty Village,1,0,0,0,0,0,0,0,1,0,"4,050"
Lima,6,1,1,0,0,0,1,4,1,2,"37,220"
Lincoln,1,0,0,0,0,0,1,0,0,0,
Lincoln,0,2,0,0,0,0,0,0,1,1,"6,860"
Lincoln,21,5,3,0,0,0,3,5,10,11,"284,063"
Lincoln,1,0,0,0,0,0,0,1,0,0,
Lincoln Park,2,0,0,0,0,0,0,0,2,0,"36,502"
Lincoln Township,1,0,0,0,0,0,1,0,0,0,"14,460"
Lindenwold,0,0,1,0,0,0,0,0,0,1,"17,516"
Lindsborg,0,0,1,1,0,0,1,0,0,1,"3,319"
Little River Band of Ottawa Indians,2,0,0,0,0,0,0,2,0,0,
Littleton,0,3,0,0,0,0,1,2,0,0,"47,112"
Livermore,2,0,0,0,0,0,0,0,2,0,"90,485"
Livingston,2,0,0,0,0,0,0,0,1,1,
Livingston County,4,2,1,0,0,0,2,3,2,0,
Livingston Township,2,1,0,0,0,0,1,1,0,1,"29,987"
Lodi,1,0,0,0,0,0,0,0,1,0,"65,042"
Lodi,2,0,3,0,0,0,3,1,0,1,"24,981"
Logan,0,0,1,0,0,0,1,0,0,0,"7,077"
Logan,1,0,0,0,0,0,0,0,1,0,
Logan,0,0,1,0,0,0,0,0,0,1,"51,059"
Loma Linda,1,0,0,0,0,0,1,0,0,0,"24,265"
Lomita,1,0,0,0,0,0,0,0,0,1,"20,764"
London,1,0,0,0,0,0,0,0,1,0,"8,184"
London,1,1,0,0,0,0,0,1,0,1,
Long Beach,8,3,6,0,0,0,7,3,5,2,"471,397"
Long Beach,1,2,0,0,0,0,1,1,1,0,"37,776"
Longmont,1,0,0,0,0,1,0,0,1,0,"93,979"
Longview,1,2,3,0,0,1,0,3,0,3,"82,303"
Lopatcong Township,0,1,0,0,0,0,1,0,0,0,"8,298"
Lorain,1,1,0,0,0,0,1,1,0,0,"63,672"
Lorain,1,0,0,0,0,0,0,0,1,0,
Los Angeles,126,43,82,0,1,11,65,72,70,56,"4,007,147"
Los Angeles,6,5,4,0,0,0,2,5,5,3,
Los Angeles ,3,1,1,0,0,0,1,0,3,1,"43,548"
Los Angeles Transportation Services Bureau,3,0,3,0,0,0,2,3,1,0,
Los Gatos,0,1,0,0,0,0,1,0,0,0,"30,720"
Loudoun,7,5,4,0,0,0,5,5,4,2,
Louisa,1,0,0,0,0,0,0,0,1,0,
"Louisiana State University, Baton Rouge",1,0,0,0,0,0,0,0,0,1,"31,409"
Louisville,1,0,0,0,0,0,1,0,0,0,"9,373"
Louisville Metro,11,2,0,1,0,0,5,0,7,2,"684,362"
Loveland,1,0,1,0,0,0,0,1,1,0,"78,671"
Loveland,1,0,0,0,0,0,0,0,0,1,"12,846"
Lowell,0,1,1,0,0,0,0,1,1,0,"111,294"
Lower Windsor Township,1,0,0,0,0,0,1,0,0,0,"7,500"
Lubbock,2,0,0,0,0,0,,,,2,"256,335"
Lucas,2,0,0,0,0,0,0,1,1,0,
Ludington,1,0,0,0,0,0,0,0,1,0,"8,068"
Lumberton Township,0,1,0,0,0,0,0,0,1,0,"12,286"
Lummi Tribal,1,0,0,0,0,0,0,1,0,0,
Luther,1,0,0,0,0,0,0,0,1,0,"1,675"
Lynchburg,2,0,0,0,0,0,1,1,0,0,"80,890"
Lyndhurst,2,1,0,0,0,0,0,1,1,1,"13,586"
Lynn,5,0,2,0,0,0,4,0,1,1,"93,140"
Lynnwood,1,0,0,0,0,0,1,0,0,0,"38,469"
Mackinac,1,0,0,0,0,0,0,0,1,0,
Macomb County,1,0,0,0,0,0,0,0,0,1,
Macon,1,0,0,0,0,0,0,0,1,0,
Macon,1,0,0,0,0,0,0,0,1,0,"5,360"
Madison,0,0,1,0,0,0,1,0,0,0,
Madison,2,0,0,0,0,0,0,0,2,0,
Madison,1,2,0,0,0,0,1,1,0,1,"16,175"
Madison,0,0,0,1,0,0,0,0,0,1,
Madison,0,1,0,0,0,0,1,0,0,0,
Madison,0,1,1,0,0,0,0,1,1,0,"255,850"
Madison Heights,1,0,0,0,0,0,1,0,0,0,"30,152"
"Madison Township, Franklin County",0,1,0,1,0,0,1,1,0,0,"18,661"
Madisonville,1,1,0,0,0,0,0,1,0,1,"19,316"
Magnolia,2,0,0,0,0,0,1,1,0,0,"4,310"
Malden,3,2,0,0,0,0,1,0,3,0,"61,098"
Malibu,2,0,0,0,0,0,1,0,1,0,"12,918"
Manalapan Township,4,4,0,0,0,0,1,2,4,1,"40,177"
Manasquan,2,0,0,0,0,0,1,0,1,0,"5,804"
Manassas,1,0,0,0,0,0,1,0,0,0,"41,995"
Manassas Park,1,0,0,0,0,0,1,0,0,0,"16,158"
Manchester,2,0,2,0,0,0,1,2,1,0,"57,808"
Manchester,0,1,0,0,0,0,0,1,0,0,"110,655"
Manchester,1,0,0,0,0,0,0,0,0,1,"10,702"
Manchester Township,1,0,0,0,0,0,1,0,0,0,"43,916"
Manchester-by-the-Sea,0,0,0,1,0,0,1,0,0,0,"5,435"
Mangonia Park,0,0,1,0,0,0,0,0,0,1,"2,009"
Manhattan,1,0,0,0,0,0,0,0,0,1,"7,625"
Manhattan Beach,0,0,1,0,0,0,0,0,0,1,"35,843"
Manistee,1,0,0,0,0,0,0,0,1,0,"6,030"
Manitowoc,1,0,0,0,0,0,1,0,0,0,"32,813"
Mankato,1,0,0,0,0,0,0,0,0,1,"42,047"
"Manor Township, Lancaster County",1,0,0,0,0,0,0,0,1,0,"20,949"
Mansfield,1,0,0,0,0,0,0,0,0,1,"23,847"
Mansfield,3,0,2,0,0,0,1,2,1,1,"46,507"
"Mansfield Township, Warren County",0,1,0,0,0,0,0,1,0,0,"7,435"
Manteca,2,2,0,0,0,0,1,0,3,0,"78,564"
Mantua Township,1,0,0,0,0,0,0,0,0,1,"15,123"
Maple Grove,2,2,0,0,0,0,0,0,1,3,"70,966"
Maple Shade Township,1,2,0,0,0,0,1,1,0,1,"18,797"
Maplewood,5,0,0,0,0,0,1,0,3,1,"40,689"
Maplewood Township,0,1,0,0,0,0,1,0,0,0,"24,863"
Marble Falls,1,0,0,0,0,0,1,0,0,0,"6,358"
Marblehead,0,1,0,0,0,0,0,1,0,0,"20,618"
Maricopa,1,0,2,0,0,0,2,0,0,1,
Marietta,1,0,2,0,0,0,0,1,0,2,"13,582"
Marietta,0,1,0,0,0,0,1,0,0,0,"2,782"
Marin,0,1,0,0,0,0,1,0,0,0,
Marin County,1,0,0,0,0,0,0,0,1,0,
Marion,1,0,0,0,0,0,0,0,0,1,
Marion,1,2,0,0,0,0,0,2,0,1,"7,819"
Marion,0,0,1,1,0,0,1,1,0,0,
Marion,0,0,1,0,0,0,0,0,0,1,
Marion,1,0,0,0,0,0,0,0,1,0,"5,837"
Marion County,1,2,1,1,0,0,1,1,3,0,
Marshall,1,0,0,0,0,0,0,0,1,0,
Marshalltown,0,1,0,0,0,0,1,0,0,0,"27,287"
Martin,1,0,0,0,0,0,0,1,0,0,
Martin,1,0,0,0,0,0,1,0,0,0,
Martin,2,0,0,0,0,0,0,0,2,0,
Martinez,2,4,0,1,0,0,0,2,5,0,"38,619"
Martinsburg,0,1,0,0,0,0,0,0,0,1,"17,761"
Maryland Heights,1,0,0,0,0,0,0,0,0,1,"27,083"
Marysville,3,0,0,0,0,0,0,0,3,0,"12,275"
Marysville,0,0,1,0,0,0,1,0,0,0,"23,622"
Marysville,2,2,0,0,0,0,1,2,1,0,"68,950"
Mashpee,0,1,0,0,0,0,0,0,1,0,"14,272"
Mason,1,0,0,0,0,0,0,1,0,0,
Mason,3,0,0,0,0,0,1,2,0,0,"33,406"
Mason,1,0,0,0,0,0,0,0,1,0,
Mason County,0,1,0,0,0,0,0,0,0,1,
Massachusetts Bay Transportation Authority:  ,,,,,,,,,,,
Massachusetts General Hospital,5,0,1,0,0,0,,,2,4,
Massasoit Community College,0,1,0,0,0,0,1,0,0,0,"7,471"
Massillon,2,0,0,0,0,0,1,1,0,,"32,265"
Mayfield,6,0,1,0,0,0,0,1,3,3,"9,991"
Mayfield,2,0,0,1,1,0,2,1,1,0,
Maysville,8,0,0,0,1,0,0,3,3,3,"8,841"
McCook,0,0,1,0,0,0,0,0,0,1,
McCracken,6,0,0,1,7,0,1,7,1,5,
McCracken County Public Schools,1,0,0,0,0,0,0,0,0,1,
McDowell,2,0,0,0,0,0,0,1,0,1,
McKinney,4,1,0,0,0,0,2,1,2,0,"179,934"
McLean,0,1,0,0,0,0,0,0,1,0,
McMinn,1,0,0,0,0,0,0,0,1,0,
McMinnville,1,1,0,0,0,0,0,1,1,0,"13,786"
Medford,5,1,0,1,0,0,2,3,0,2,"57,418"
Medford Lakes,1,1,0,0,0,0,0,0,2,0,"4,038"
Medford Township,3,2,2,0,0,0,1,1,0,5,"23,503"
"Medical Center, Sacramento",0,1,0,0,0,0,0,1,0,0,
Medical University of South Carolina,1,0,0,0,0,0,1,0,0,0,"2,986"
Medina Township,1,0,0,0,0,0,1,0,0,0,"8,940"
Medway,1,0,0,0,0,0,0,0,0,1,"13,407"
Memphis,4,0,3,0,0,0,1,4,0,2,"652,765"
Mendocino,1,0,0,0,0,0,1,0,0,0,
Menifee,1,0,0,0,0,0,0,0,0,1,"90,403"
Menominee,2,1,0,0,0,0,0,1,1,1,
Mentor-on-the-Lake,0,1,0,0,0,0,1,0,0,0,"7,359"
Merced,1,0,0,0,0,0,0,0,0,1,"83,180"
Meriden,0,0,1,0,0,0,0,1,0,0,"59,417"
Meridian Township,2,1,6,0,0,0,2,0,6,1,"42,878"
Merrick,4,0,0,0,0,0,0,0,2,2,
Mesa,4,1,0,0,0,0,1,0,1,3,"492,268"
Mesa,1,0,1,0,0,0,0,0,0,2,
Metro Police Authority of Genesee County,0,1,0,0,0,0,0,1,0,0,"20,001"
Metro Transit Police,21,2,1,0,0,0,6,8,3,7,
Metuchen,0,0,0,1,0,0,1,0,0,0,"13,981"
Miami Beach,0,7,9,0,0,0,8,6,1,1,"92,571"
Miami County,0,1,0,0,0,0,0,0,1,0,
Miami Gardens,0,2,0,0,0,0,2,0,0,0,"114,008"
Miami-Dade,0,0,1,0,0,0,0,0,0,1,
Michigan City,1,0,0,0,0,0,0,0,0,1,"31,108"
Michigan State University,1,0,0,0,0,0,0,0,1,0,"50,340"
Middlebury,1,0,0,0,0,0,0,0,0,1,"8,681"
Middlesboro,1,0,0,0,0,0,0,0,0,1,"9,534"
Middlesex Borough,1,1,0,0,0,0,1,0,1,0,"13,897"
Middlesex County,1,0,0,0,0,0,,,,1,
Middleton,1,0,0,0,0,0,0,0,1,0,"7,486"
Middletown,5,2,1,0,0,0,2,1,3,2,"46,363"
Middletown,0,1,0,0,0,0,0,0,1,0,"27,607"
Midland,1,0,0,0,0,0,1,0,0,0,"42,131"
Midland,1,0,0,0,0,0,0,1,0,0,
Milan,2,1,1,0,1,0,2,1,0,2,"7,780"
Mill Creek,0,0,1,0,0,1,0,1,0,1,"20,664"
Millburn Township,0,1,0,0,0,0,0,0,0,1,"20,421"
Millbury,0,1,0,0,0,0,0,0,1,0,"13,626"
Millington,1,0,0,0,0,0,1,0,0,0,"1,016"
Millington,3,0,1,0,0,0,0,0,2,2,"10,944"
Milton,0,1,1,0,0,0,1,1,0,0,"27,420"
Milwaukee,4,1,0,0,0,0,3,0,0,2,"595,168"
Minneapolis,16,7,8,0,0,0,10,9,8,4,"418,971"
Minnehaha,1,0,0,0,0,0,1,0,0,0,
Minot,1,0,1,0,0,0,0,2,0,0,"50,118"
Minster,1,0,0,0,0,0,1,0,,,"2,866"
Missaukee,1,0,0,0,0,0,0,0,1,0,
Missoula,1,1,0,0,0,0,0,0,2,0,
Moab,1,0,0,0,0,0,0,0,1,0,"5,266"
Modesto,6,1,3,0,0,0,6,1,2,1,"213,677"
Mohave,1,0,0,0,0,0,0,0,1,,
Mohegan Tribal,1,0,0,0,0,0,0,1,0,0,
Moncks Corner,3,1,1,0,0,0,2,2,1,0,"10,818"
Monmouth Beach,0,1,0,0,0,0,0,0,0,1,"3,213"
Monroe,1,0,0,0,0,0,1,0,0,0,
Monroe,1,0,0,0,0,0,1,0,0,0,"19,868"
Monroe,0,1,0,0,0,0,0,1,0,0,
Monroe,0,0,0,1,0,0,0,0,1,0,"35,153"
Monroe,0,1,0,0,0,0,0,0,1,0,
Monroe,3,1,0,0,0,0,0,1,2,1,"18,596"
Monroe County,0,1,0,0,0,0,0,0,0,1,
Monroe County,2,0,0,0,0,0,0,2,0,0,
"Monroe Township, Middlesex County",0,3,0,0,0,0,0,0,0,3,"45,722"
Monroe Village,2,0,0,0,0,0,0,0,2,0,"8,636"
Montana State University,1,0,0,0,0,0,1,0,0,0,"16,359"
Montcalm County,2,0,0,0,0,0,0,0,1,1,
Montclair,2,0,0,0,0,0,0,0,1,1,"39,029"
Montclair State University,3,1,1,0,0,0,2,1,2,,"20,987"
Monterey,1,0,1,0,0,0,0,0,2,0,"28,584"
Monterey,1,0,0,0,0,0,0,1,0,0,
Monterey Bay,1,0,1,0,0,0,0,1,0,1,"7,274"
Monterey Park,3,1,0,0,0,0,1,0,1,2,"61,210"
Montgomery,2,1,1,0,0,0,0,2,2,0,
Montgomery,0,1,0,0,0,0,0,1,0,0,"10,638"
Montgomery,3,0,2,0,0,0,1,2,0,2,
Montgomery,0,1,0,0,0,0,0,0,0,1,
Montgomery County Police Department,2,2,2,0,0,0,0,3,2,1,
Montvale,0,1,0,0,0,0,1,0,0,0,"8,653"
Monument,1,0,0,0,0,0,1,0,0,0,"6,644"
Moorestown Township,4,1,0,0,0,0,1,2,1,1,"20,534"
Moorhead,2,0,1,0,0,0,3,0,0,0,"42,999"
Morehead,1,0,0,0,0,0,0,0,1,0,"7,915"
Morehead,3,0,0,0,0,0,0,0,0,3,
Moreno Valley,1,0,2,0,0,0,1,0,1,1,"207,418"
Morristown,3,0,0,0,0,0,0,1,2,0,"29,774"
Morrisville,2,3,0,0,0,0,0,0,1,4,"3,003"
Morton,1,0,0,0,0,0,1,0,0,0,
Moscow,1,0,0,0,0,0,0,1,0,0,"25,576"
Mount Healthy,1,0,0,0,0,0,0,0,0,1,"6,020"
Mount Laurel Township,0,0,1,0,0,0,1,0,0,0,"41,712"
Mount Olive Township,1,0,1,0,0,0,0,0,0,2,"29,410"
Mount Pleasant,1,0,1,0,0,0,1,0,1,0,"26,366"
Mount Prospect,0,2,0,0,0,0,0,0,2,0,"54,162"
Mount Sterling,2,0,0,0,0,0,1,0,0,1,"7,298"
Mount Vernon,2,0,0,0,0,0,0,0,1,1,"68,507"
Mount Vernon,0,1,0,0,0,0,0,1,0,0,"16,553"
Mount Vernon,5,0,0,0,0,0,1,3,0,1,"35,085"
Mount Washington,1,0,0,0,0,0,0,1,0,0,"14,511"
Mountain Home,2,0,0,0,0,0,0,1,0,1,"13,772"
Mukilteo,0,1,0,0,0,0,0,1,0,0,"21,662"
Muldrow,1,0,1,0,0,0,0,1,1,0,"3,250"
Mullica Township,1,0,0,0,0,0,0,0,0,1,"6,024"
Mulvane,1,0,0,0,0,0,1,0,0,0,"6,343"
Murfreesboro,0,0,0,1,0,0,1,0,0,0,"136,102"
Murray,2,0,1,0,1,0,0,1,3,0,"19,205"
Murrieta,1,0,0,0,0,0,0,1,0,0,"113,016"
Murrysville,1,0,0,0,0,0,1,0,0,0,"20,034"
Muskegon,4,0,0,0,0,0,0,0,4,0,"38,375"
Muskegon,0,0,1,0,0,0,1,0,0,0,
Muskegon County,1,0,0,0,0,0,0,0,0,1,
Muskogee,1,0,0,0,0,0,1,0,0,0,"38,199"
Myrtle Beach,0,0,1,0,0,0,0,0,1,0,"33,167"
Nahant,0,1,0,0,0,0,0,0,1,0,"3,500"
Nampa,2,1,1,0,0,0,2,1,1,0,"93,064"
Nashville Metropolitan,11,5,3,0,0,0,6,3,6,4,"674,942"
Nassau,9,28,0,0,0,0,14,9,9,5,
Natick,0,1,0,0,0,0,1,0,0,0,"36,705"
National City,1,0,0,0,0,0,1,0,0,0,"61,574"
Neptune Township,6,0,1,0,0,0,4,1,0,2,"27,757"
Nevada,0,0,1,0,0,0,0,1,0,0,
New Albany,3,0,0,0,0,0,0,2,0,1,"10,838"
New Bedford,0,0,1,0,0,0,0,1,0,0,"95,107"
New Bern,1,0,0,0,0,0,1,0,0,0,"30,191"
New Brighton,1,0,0,0,0,0,0,0,1,0,"22,772"
New Britain,0,1,0,0,0,0,0,1,0,0,"72,442"
New Brunswick,1,0,2,0,0,0,2,,1,,"57,481"
New Brunswick,4,12,9,0,0,0,6,7,3,9,"50,146"
New Castle,0,0,1,0,0,0,1,0,0,0,"5,362"
New Castle County,2,1,0,0,0,0,1,1,1,0,
New Castle County Police Department,2,4,0,0,0,0,4,0,0,2,
New Castle Town,1,1,0,0,0,0,2,,,,"18,189"
New Hanover,2,2,0,0,0,0,0,1,3,0,
New Haven,4,2,3,0,0,1,0,4,4,2,"129,953"
New Hope,0,0,1,0,0,0,0,0,0,1,"2,492"
New Jersey State Police,4,1,0,1,0,0,4,,,2,
New Lenox,0,0,0,1,0,0,1,0,0,0,"26,529"
New London,0,0,1,0,0,0,0,1,0,0,"26,880"
New Milford,1,0,0,0,0,0,0,0,1,0,"26,993"
New Orleans,1,0,0,0,0,0,,,0,1,"397,447"
New Paltz,0,2,0,0,0,0,0,0,0,2,"7,628"
New Paltz Town and Village,0,1,0,0,0,0,1,0,0,0,"14,125"
New Port Richey,1,0,0,0,0,0,0,0,1,0,"16,388"
New Rochelle,4,1,0,0,0,0,2,0,1,2,"79,960"
New York,88,173,46,0,0,11,96,82,68,72,"8,616,333"
New York City Metropolitan Transportation Authority,16,12,0,0,0,0,11,1,7,9,
Newark,2,1,0,0,0,0,0,2,1,0,"46,360"
Newark,0,2,0,0,0,0,,,,2,"12,321"
Newaygo,0,0,0,0,1,0,0,1,0,0,
Newberg-Dundee,1,1,0,0,0,0,1,0,1,0,"26,769"
Newburyport,0,1,0,0,0,0,0,0,1,0,"18,092"
Newport,1,0,0,0,0,0,0,1,0,0,"15,202"
Newport,0,0,1,0,0,0,0,1,0,0,"4,287"
Newport Beach,1,0,0,0,0,0,0,0,0,1,"86,910"
Newport News,2,1,1,0,0,0,3,0,1,0,"181,738"
Newton,2,0,0,0,0,0,2,0,0,0,"19,095"
Newton,3,7,2,0,0,0,5,4,1,2,"89,736"
Newton,0,1,1,0,0,0,0,0,1,1,"7,874"
Newton Falls,0,0,1,0,0,0,1,0,0,0,"4,567"
Niagara Falls,3,0,0,0,0,0,0,1,2,0,"48,385"
Nicholasville,4,0,0,0,0,0,1,0,1,2,"30,333"
Noble,0,0,1,0,0,0,0,0,1,0,"6,799"
Norco,0,1,0,0,0,0,0,1,0,0,"26,654"
Norfolk,2,0,0,0,0,0,0,0,1,1,"24,364"
Norfolk,1,0,1,0,0,0,0,0,1,1,"245,190"
Norman,1,0,1,0,1,0,1,0,1,1,"124,074"
Normandy,1,0,0,0,0,0,0,1,0,0,"7,544"
North Andover,1,0,0,0,0,0,0,0,1,0,"31,035"
North Bergen Township,0,1,0,0,0,0,1,0,0,0,"63,490"
North Branford,0,1,0,0,0,0,0,0,1,0,"14,163"
North Canton,1,1,1,0,0,0,2,0,1,0,"17,348"
North Carolina Central University,1,0,0,0,0,0,0,0,0,1,"8,094"
North Charleston,1,0,0,0,0,0,0,0,0,1,"111,305"
North Fond du Lac,1,0,0,0,0,0,0,1,0,0,"5,038"
North Haven,0,0,1,0,0,0,0,0,0,1,"23,646"
North Kansas City,1,0,0,0,0,0,0,1,0,0,"4,407"
North Miami,1,0,0,0,0,0,1,0,0,0,"62,543"
North Plains,1,0,0,0,0,0,0,0,1,0,"2,158"
Northbridge,1,0,0,0,0,0,0,0,0,1,"16,711"
Northern Virginia Community College,1,2,0,0,0,0,2,1,0,0,"50,835"
Northfield,0,4,4,0,0,0,0,0,0,8,"2,966"
