,"Race/
Northfield,1,0,0,0,0,0,0,1,0,0,"20,512"
Northfield,1,0,0,0,0,0,1,0,0,0,"8,376"
Northglenn,0,1,0,0,0,0,0,1,0,0,"39,520"
Northville Township,2,0,0,0,0,0,0,0,2,0,"28,751"
Norton,1,0,1,1,0,0,3,0,0,0,"2,799"
Norwalk,1,0,1,0,0,0,0,0,1,1,"106,278"
Norwell,1,0,0,0,0,0,0,0,1,0,"11,150"
Norwich,0,1,0,0,0,0,0,0,1,0,"39,393"
Nottawaseppi Huron Band of Potawatomi,1,0,0,0,0,0,0,0,1,0,
Novato,2,0,0,0,0,0,1,0,1,0,"56,698"
Oak Harbor,1,0,0,0,0,0,0,0,1,0,"2,731"
Oak Harbor,1,0,0,0,0,0,0,1,0,0,"23,371"
Oak Hill,3,0,0,0,0,0,0,3,0,0,"8,490"
Oak Park,1,0,0,0,0,0,0,0,1,0,"51,753"
Oak Park,0,2,0,0,0,0,0,0,2,0,"29,698"
Oakdale,1,0,0,0,0,0,1,0,0,0,"28,181"
Oakland,9,7,2,0,0,0,8,4,4,2,"424,915"
Oakland,0,1,0,0,0,0,0,0,0,1,"13,243"
Oakland County,2,0,0,1,0,0,0,2,1,0,
Oakland Park,2,1,1,0,0,0,1,1,1,1,"44,814"
Oakland University,1,0,0,0,0,0,0,0,0,1,"20,012"
Ocala,0,0,1,0,0,0,1,0,0,0,"59,731"
"Ocean Township, Monmouth County",3,3,0,0,0,0,1,3,2,0,"26,637"
Oceana County,1,0,0,0,0,0,0,1,0,0,
Oceano Dunes,0,0,1,0,0,0,0,1,0,0,
Oceanside,4,1,1,0,0,0,1,1,3,1,"176,815"
Odessa,2,1,2,1,0,0,2,2,1,1,"121,194"
Ogden,2,1,1,0,0,0,1,1,2,0,"87,323"
Ohio,1,0,0,0,0,0,0,0,1,0,
Ohio State Highway Patrol,1,0,0,1,0,0,0,2,0,0,
"Ohio State University, Columbus",3,0,0,0,0,0,1,0,1,1,"59,482"
Okaloosa,1,0,0,0,0,0,0,1,,,
"Oklahoma State University, Main Campus",1,0,0,0,0,0,0,0,0,1,"25,622"
Old Bridge Township,2,0,0,0,0,0,1,0,1,0,"67,162"
Old Orchard Beach,2,0,0,0,0,0,0,1,1,0,"8,842"
Old Saybrook,3,0,0,0,0,0,1,0,2,0,"10,070"
Old Tappan,0,1,0,0,0,0,0,0,1,0,"6,069"
Oldham County Police Department,2,0,0,0,0,0,0,2,0,0,
Olympia,3,0,0,0,0,1,2,2,0,0,"51,923"
Omaha,2,1,0,0,0,0,1,1,1,0,"449,388"
Oneida County ,0,1,0,0,0,0,0,,1,0,
Onondaga County ,0,1,0,0,0,0,0,0,0,1,
Ontario,1,0,0,1,0,0,1,1,0,0,"174,724"
Ontario,0,0,0,1,0,0,0,1,0,0,"6,058"
Ontario,0,0,1,0,0,0,1,0,0,0,"10,970"
Ontonagon,0,0,1,0,0,0,0,1,0,0,
Oradell,0,2,0,0,0,0,0,2,0,0,"8,291"
Orange,1,0,0,0,0,0,0,0,,1,"141,130"
Orange,2,1,0,0,0,0,0,1,1,1,"13,904"
Orange,2,0,0,0,0,0,2,0,0,0,
Orange County ,0,1,0,0,0,0,0,0,1,0,
Orangeburg,1,0,0,0,0,0,0,1,0,0,"13,076"
Orangeburg,7,1,0,1,0,0,3,1,2,3,
Oregon City,0,1,0,0,0,0,0,0,0,1,"36,921"
Orland,1,0,0,0,0,0,0,1,0,0,"7,624"
Orlando,2,0,3,0,0,0,1,2,1,1,"283,982"
Orting,2,2,0,0,0,0,2,0,1,1,"7,863"
Osceola,2,1,1,0,0,0,2,0,1,1,
Osceola County,1,0,0,0,0,0,0,0,1,0,
Oswego County ,0,1,0,0,0,1,1,0,0,1,
Otsego,0,0,0,0,1,0,0,1,0,0,
Ottawa,3,1,0,0,0,0,2,1,1,,"12,307"
Ottawa,1,1,1,0,0,0,0,0,2,1,
Otter Tail,0,1,0,0,0,0,1,0,0,0,
Overland,1,0,0,0,0,0,0,1,0,0,"15,760"
Ovid,1,0,0,0,0,0,0,0,1,0,"1,615"
Owasso,0,0,1,0,0,0,1,0,0,0,"36,869"
Owensboro,5,1,1,0,0,0,2,0,3,2,"59,576"
Oxford,0,0,1,0,0,0,1,0,0,0,"22,459"
Oxnard,2,4,1,0,0,0,0,2,5,0,"209,513"
Ozark,2,0,0,0,0,0,1,,,1,"14,559"
Pacific Grove,0,1,0,0,0,0,0,1,0,0,"15,716"
Pacifica,1,0,1,0,0,0,1,0,1,0,"39,353"
Paducah,10,2,1,0,0,1,4,5,3,2,"25,169"
Page,1,0,0,0,0,0,0,0,1,0,"7,632"
Page,2,0,0,0,0,0,1,0,0,1,
Palestine,1,0,0,0,0,0,0,0,0,1,"18,316"
Palm Bay,1,0,1,0,0,0,0,1,1,0,"111,275"
Palm Beach,1,1,0,0,0,0,1,1,0,0,
Palm Springs,0,0,3,0,0,0,1,1,0,1,"48,193"
Palmdale,3,0,0,0,0,0,2,1,0,0,"158,094"
Palmyra,1,0,1,0,0,0,0,1,0,1,"7,217"
Palo Alto,2,3,0,0,0,0,4,0,1,0,"67,441"
Pampa,1,0,0,0,0,0,0,0,1,0,"17,736"
Paradise,1,0,0,0,0,0,0,0,1,0,"26,610"
Paramus,1,1,0,0,0,0,1,0,1,0,"27,075"
Paris,2,0,1,0,0,0,1,1,1,0,"9,845"
Park Hills,1,0,0,0,0,0,0,0,1,0,"3,001"
Parkersburg,1,0,0,0,0,0,0,1,0,0,"30,475"
Parma,1,0,0,0,0,0,0,0,1,0,"79,340"
Pasadena,1,1,0,0,0,1,0,1,2,0,"142,891"
Pasco,3,0,0,0,0,0,0,0,3,0,
Pasco,1,0,0,0,0,0,1,0,0,0,"72,146"
Passaic,1,1,1,0,0,0,0,0,2,1,"71,053"
Patton Township,1,0,0,0,0,0,0,0,1,0,"16,100"
Paulsboro,1,0,0,0,0,0,0,0,1,0,"5,959"
Payne,1,0,0,0,0,0,0,1,0,0,
Pearland,1,0,0,0,0,0,0,1,0,0,"117,869"
Pekin,1,0,0,0,0,0,0,0,0,1,"32,866"
Pelham,1,0,0,0,0,0,0,0,1,0,"13,513"
Pendleton,1,0,0,0,0,0,0,1,0,0,
Pennington,1,0,0,0,0,0,0,0,0,1,
Pennsville Township,1,0,0,0,0,0,0,0,1,0,"12,564"
Pennsylvania State University:  ,,,,,,,,,,,
Peoria,0,0,1,0,0,0,0,1,0,0,"114,157"
Peoria,1,0,0,0,0,0,0,0,0,1,
Pequannock Township,0,1,0,0,0,0,1,0,0,0,"15,472"
Perkins,0,0,0,1,0,0,0,0,0,1,
Perkins Township,1,0,0,0,0,0,0,1,0,0,"11,773"
Perry,2,0,0,0,0,0,0,2,0,0,"2,094"
Perry,0,0,0,1,0,0,0,0,0,1,
"Perry Township, Franklin County",0,1,0,0,0,0,1,0,0,0,"3,758"
Petaluma,5,1,2,0,0,0,5,1,1,1,"60,957"
Petersburg,1,0,0,0,0,0,1,0,0,0,"31,739"
Petoskey,1,0,0,0,0,0,0,0,1,0,"5,764"
Pflugerville,4,0,0,0,0,0,,,0,4,"61,212"
Pflugerville,1,0,0,0,0,0,,,0,1,
Philadelphia,19,14,4,0,0,3,7,20,7,6,"1,575,595"
Phoenix,142,41,44,4,0,12,49,57,48,65,"1,644,177"
Pickens,1,0,0,0,0,0,0,0,1,0,"3,201"
Pickerington,0,1,0,0,0,0,0,0,0,1,"20,373"
Pico Rivera,0,0,2,0,0,1,2,0,1,0,"63,746"
Piedmont,1,1,0,0,0,0,0,0,2,0,"11,464"
Pierce,6,1,1,0,0,0,3,0,5,0,
Pierce Township,1,0,0,0,0,0,1,0,0,0,"11,623"
Pikeville,2,0,0,0,0,0,1,0,1,0,
Pima,2,0,0,0,0,0,2,,,0,
Pinckney,0,0,0,1,0,0,0,0,1,0,"2,463"
Pinellas,0,1,0,0,0,0,1,0,0,0,
Piscataway Township,0,1,0,0,0,0,1,0,0,0,"58,109"
Pitt,4,0,0,0,0,0,0,1,1,2,
Pittsburgh,13,0,1,0,0,0,6,3,3,2,"305,932"
Pittsfield,0,1,0,0,0,0,1,0,0,0,"42,546"
Pittsfield Township,1,0,0,0,0,0,0,0,0,1,"39,061"
Placentia,1,0,0,0,0,0,0,1,0,0,"52,437"
Plainfield,0,1,0,0,0,0,0,0,1,0,"43,450"
Plainfield,1,0,1,0,0,0,1,1,0,0,"32,067"
Plainfield,0,1,0,0,0,0,1,0,0,0,"50,983"
Plano,2,0,0,0,0,1,1,2,0,0,"290,413"
Plattsburgh,1,1,0,0,0,0,2,0,0,0,"5,520"
Pleasant Hill,0,1,0,0,0,0,1,0,0,0,"35,136"
Pleasant View,1,0,0,0,0,0,0,0,0,1,"10,036"
Plumas,1,0,0,0,0,0,0,0,1,0,
Plymouth,0,1,0,0,0,0,1,0,0,0,"59,803"
Plymouth,0,1,0,0,0,0,0,0,0,1,"78,356"
Plymouth,0,1,0,0,0,0,0,0,0,1,"6,303"
Pocatello,0,1,0,0,0,0,1,0,0,0,"54,814"
Point Pleasant,0,1,0,0,0,0,1,0,0,0,"18,696"
Pomona,1,1,1,0,0,0,0,2,1,0,"153,066"
Pompano Beach,2,1,0,0,0,0,0,0,1,2,"111,027"
Pompton Lakes,1,0,0,0,0,0,0,0,0,1,"11,176"
Pontiac,1,0,0,0,0,0,0,1,0,0,"11,813"
Pontiac,2,0,0,0,0,0,0,0,1,1,"59,731"
Port Angeles,2,1,0,0,0,0,2,0,0,1,"19,964"
Port Jervis,0,0,1,0,0,0,0,,1,0,"8,527"
Port of San Diego Harbor,0,0,1,0,0,0,0,0,0,1,
Port of Seattle,2,2,0,0,0,0,0,1,0,3,
Port St. Lucie,0,0,1,0,0,0,0,1,0,0,"188,652"
Portland,7,2,1,0,0,0,6,3,1,0,"67,079"
Portland,1,0,0,0,0,0,0,1,0,0,"3,943"
Portland,10,4,3,1,0,0,7,7,1,3,"649,408"
Portland State University,0,0,1,0,0,0,0,0,0,1,"26,627"
Portsmouth,0,0,0,1,0,0,0,1,0,0,"20,451"
Portsmouth,3,0,1,0,0,0,1,2,1,0,"95,100"
Posey County,0,1,0,0,0,0,0,0,0,1,
Poughkeepsie,1,0,0,0,0,1,0,0,1,1,"30,159"
Powell,1,0,0,0,0,0,0,0,0,1,"13,029"
Presque Isle,2,0,0,0,0,0,0,1,1,0,
Preston,0,3,0,0,0,0,1,1,1,0,"5,372"
Price,1,1,0,0,0,2,2,2,0,0,"8,313"
Prince George County Police Department,0,0,1,0,0,0,0,0,0,1,
Prince George's County Police Department,1,0,0,0,0,0,0,1,,,
Prince William County Police Department,2,2,0,0,0,0,0,3,0,1,
Princeton,0,1,0,0,0,0,0,0,0,1,"6,084"
Princeton,8,7,0,0,0,0,1,6,5,3,"31,845"
Princeton University,3,0,0,0,0,0,,,,3,"8,181"
Providence,1,0,0,0,0,0,1,0,0,0,"3,088"
Providence,3,1,2,0,0,0,1,2,3,0,"179,854"
Provincetown,1,0,1,0,0,0,0,1,0,1,"2,993"
Pueblo,2,0,0,0,0,0,0,0,1,1,"110,872"
Pullman,1,0,0,0,0,0,0,0,0,1,"33,897"
Purcellville,0,1,0,0,0,0,0,0,1,0,"9,779"
Purdue University,1,0,0,0,0,0,1,,,,"41,513"
Putnam,1,0,0,0,0,0,1,0,0,0,
Putnam County ,0,1,1,0,0,0,0,1,0,1,
Puyallup,1,0,0,0,0,0,0,0,1,0,"41,242"
Quincy,8,2,1,0,0,0,2,1,4,3,"93,966"
Radcliff,3,0,0,0,0,0,0,1,0,2,"22,473"
Raisin Township,1,0,0,0,0,0,1,0,0,0,"7,619"
Raleigh,12,2,3,0,0,0,2,7,5,3,"468,261"
Ramapo Town,0,4,0,0,0,0,0,2,2,0,"94,019"
Ramsey,2,0,0,0,0,0,1,1,0,0,
Ramsey,1,1,0,0,0,0,0,0,1,1,"15,273"
Rancho Cordova,2,0,0,0,0,0,0,1,0,1,"73,607"
Randolph,1,0,0,0,0,0,0,0,1,0,
Randolph Township,4,4,0,0,0,0,4,2,0,2,"25,950"
Rapid City,1,0,0,0,0,0,0,1,0,0,"74,986"
Ravalli,0,1,0,0,0,0,0,0,1,0,
Raynham,0,0,0,0,0,1,1,0,0,0,"14,048"
Reading,0,1,1,0,0,0,0,0,1,1,"26,033"
Reading,1,0,0,0,0,0,0,0,0,1,"10,307"
Red Bluff,0,0,1,0,0,0,0,0,0,1,"14,169"
Redding,11,0,4,0,0,0,4,3,5,3,"92,127"
Redford Township,1,0,0,0,0,0,0,1,0,0,"46,867"
Redlands,1,1,0,0,0,0,0,0,2,0,"71,707"
Redmond,1,2,2,0,0,0,1,1,1,0,"63,889"
Redwood City,2,0,0,0,0,0,0,0,2,0,"86,353"
Reedley,0,1,0,0,0,0,0,0,0,1,"25,794"
Rehoboth Beach,1,0,1,0,0,1,0,0,3,0,"1,516"
Reno,0,0,3,0,0,0,1,2,0,0,"248,531"
Renton,3,3,0,0,0,0,4,0,0,2,"102,470"
Revere,2,1,0,0,0,0,0,1,2,0,"53,425"
Reynoldsburg,5,1,1,0,0,0,1,3,3,0,"37,704"
Rhea,1,0,0,0,0,0,0,0,1,0,
Rialto,1,0,0,0,0,0,1,0,0,0,"103,980"
Richland,1,0,0,0,0,0,0,0,0,1,
Richland,1,1,1,0,0,0,1,0,1,1,
Richland,5,0,0,0,0,0,0,2,1,2,"56,151"
"Richland Township, Cambria County",1,0,0,0,0,0,0,0,0,1,"12,153"
Richmond,3,0,2,0,0,0,1,0,2,2,"110,804"
Richmond,5,0,1,0,0,0,1,2,1,2,"35,161"
Richmond,1,0,0,0,0,0,0,0,0,1,
Richmond,2,0,0,0,0,0,1,0,0,1,"226,236"
Ridgewood,0,4,0,0,0,0,0,0,3,1,"25,729"
Riley County Police Department,3,1,0,0,0,0,0,0,3,1,
Ripley,0,0,1,0,0,0,0,0,1,0,"8,067"
River and Bay Authority,1,0,0,0,0,0,0,0,1,0,
River Edge,0,1,0,0,0,0,0,1,0,0,"11,744"
Riverside,4,4,0,0,0,0,3,3,1,1,"328,023"
Riverside,1,0,0,0,0,0,0,1,0,0,
Riverside Community College,2,0,0,0,0,0,0,0,0,2,"38,677"
Roanoke Rapids,1,0,0,0,0,0,0,1,0,0,"15,083"
Robbinsville Township,3,0,0,0,0,0,1,0,2,0,"14,446"
Rochester,10,3,0,0,0,0,3,3,3,4,"115,228"
Rochester,1,0,2,0,0,0,0,2,1,0,"208,591"
Rochester Hills,1,2,1,0,0,0,1,0,0,3,"73,827"
Rock,0,0,1,0,0,0,0,0,1,0,
Rockbridge County,1,0,0,0,0,0,1,0,0,0,
Rockcastle,0,0,1,0,0,0,0,0,1,0,
Rockford,2,0,2,0,0,0,0,2,1,1,"146,770"
Rockingham,1,0,1,0,0,0,0,1,1,0,
Rockledge,1,0,0,0,0,0,1,0,0,0,"27,432"
Rockwall,1,0,0,1,0,0,0,0,1,1,"44,599"
Rocky Hill,2,0,0,0,0,0,0,1,1,0,"20,189"
Rocky River,0,0,0,1,0,0,0,0,1,0,"20,342"
Rogersville,1,0,0,0,0,0,0,0,1,0,"4,367"
Rolla,2,0,3,0,0,0,2,1,2,0,"20,147"
Romulus,2,0,0,0,0,0,0,1,1,0,"23,174"
Roosevelt,1,0,0,0,0,0,0,0,0,1,"7,057"
Roosevelt Park,0,1,0,0,0,0,0,0,1,0,"3,826"
Roselle Park,1,0,0,0,0,0,0,0,1,0,"13,747"
Roseville,12,6,1,0,0,0,7,6,5,1,"135,028"
Roseville,6,1,0,0,0,0,2,2,3,0,"47,651"
Roseville,0,0,1,0,0,0,0,1,0,0,"36,196"
Ross,3,0,0,0,0,0,1,1,1,0,
Round Rock,1,0,0,0,0,0,0,1,0,0,"124,617"
Routt,0,0,1,0,0,0,0,0,1,0,
Roy,2,0,0,0,0,0,2,0,0,0,"38,410"
Royal Oak,1,0,0,0,0,0,0,0,1,0,"59,303"
Rumford,1,0,0,0,0,0,0,0,1,0,"5,692"
Rusk,2,0,0,0,0,0,0,0,1,1,"5,576"
Russell Springs,1,0,0,0,0,0,0,0,0,1,"2,573"
Russellville,0,0,0,1,0,0,0,0,0,1,"7,006"
Rutgers University:  ,,,,,,,,,,,
Rutherford,1,1,0,0,0,0,0,1,1,0,
Rutland,0,1,0,0,0,0,0,0,1,0,"8,687"
Rutland,0,0,1,0,0,0,0,0,0,1,"15,462"
Rye,1,0,0,0,0,0,0,1,0,0,"5,425"
Sabina,2,0,0,0,0,0,0,2,0,0,"2,534"
Sachse,1,0,0,0,0,0,0,0,1,0,"25,907"
Saco,1,2,0,0,0,0,2,1,0,0,"19,332"
Sacramento,2,2,0,0,0,1,1,2,1,1,"499,997"
Sacramento,8,1,1,0,0,1,4,0,4,3,
Saginaw,3,0,0,0,0,0,0,0,2,1,"48,589"
Saginaw,0,1,0,0,0,0,0,1,0,0,
Saginaw County,2,1,0,0,0,0,0,1,1,1,
Saginaw Township,2,0,0,0,0,0,1,0,0,1,"39,319"
Saginaw Valley State University,0,0,0,0,1,0,0,0,0,1,"9,105"
Salem,2,0,0,0,0,0,0,1,0,1,"11,887"
Salem,4,0,1,0,0,0,0,3,1,1,"169,565"
Salem,8,5,0,0,0,0,1,5,1,4,"43,385"
Salina,4,1,2,1,0,0,2,2,2,2,"47,251"
Salinas,0,0,1,0,0,0,0,0,1,0,"158,313"
Saline,1,0,0,0,0,0,0,0,0,1,
Saline,1,0,0,0,0,0,0,0,1,0,"9,207"
Salisbury,1,0,0,0,0,0,0,1,0,0,"9,517"
Salisbury,2,0,0,0,0,0,0,1,0,1,"34,085"
Salt Lake City,2,1,1,0,0,0,0,1,1,2,"194,968"
Salt Lake County Unified Police Department,0,3,0,0,0,0,1,0,1,1,
San Angelo,1,0,0,0,0,0,1,0,0,0,"101,931"
San Antonio,2,1,1,0,0,0,1,2,0,1,"1,520,712"
San Bernardino,4,0,4,0,0,0,4,2,2,0,"217,259"
San Bernardino,1,0,0,0,0,0,1,0,0,0,"20,767"
San Bernardino,2,1,0,0,0,0,1,2,0,0,
San Clemente,1,0,0,0,0,0,0,1,0,0,"65,596"
San Diego,17,12,11,0,0,1,17,14,7,3,"1,424,116"
San Diego,7,0,7,0,0,0,3,4,4,3,
San Diego ,0,0,1,0,0,0,0,0,0,1,"34,979"
San Diego State University,0,1,0,0,0,0,0,0,0,1,"34,688"
San Fernando,0,1,0,0,0,0,1,0,0,0,"24,899"
San Francisco,19,8,12,0,0,4,10,6,13,14,"881,255"
San Francisco,0,2,0,0,0,0,0,2,0,0,"3,145"
San Francisco Bay Area Rapid Transit:  ,,,,,,,,,,,
San Francisco County,1,0,1,0,0,0,1,0,1,0,
San Francisco State University,0,0,1,0,0,0,0,0,1,0,"29,045"
San Gabriel,1,1,0,0,0,0,1,0,0,1,"40,531"
San Jacinto,1,0,0,0,0,0,0,1,0,0,"47,932"
San Jose,26,11,7,0,0,1,10,8,16,11,"1,037,529"
San Leandro,6,0,3,1,0,0,3,5,1,1,"91,386"
San Luis Obispo,2,2,1,0,0,0,0,3,1,1,"47,934"
San Luis Obispo,3,0,0,0,0,0,0,1,1,1,
San Marcos,1,1,0,0,0,0,1,0,1,0,"97,290"
San Mateo,2,0,0,0,0,0,1,1,0,0,"105,090"
San Mateo,0,1,0,0,0,0,0,0,1,0,
San Rafael,3,0,0,0,0,0,1,2,0,0,"59,144"
San Ramon,2,1,0,0,0,0,1,1,0,1,"76,325"
San Saba,0,1,0,0,0,0,0,0,0,1,"3,071"
Sandoval,1,0,0,0,0,0,0,0,1,0,"1,211"
Sanford,3,0,0,0,0,1,1,1,2,0,"20,963"
Santa Ana,1,2,0,0,0,0,0,1,1,1,"335,699"
Santa Barbara,2,0,0,0,0,0,0,2,0,0,"24,346"
Santa Barbara,2,0,2,0,0,0,1,3,0,0,
Santa Clara,1,0,0,0,0,0,0,0,1,0,"127,538"
Santa Clara,1,0,0,0,0,2,1,1,0,1,
Santa Clarita,5,5,3,0,0,0,1,6,5,1,"216,350"
Santa Cruz,5,1,3,0,0,0,2,3,2,2,"65,132"
Santa Cruz,1,1,0,0,0,0,0,0,2,0,
Santa Monica,2,0,1,0,0,0,0,0,2,1,"92,935"
Santa Rosa,1,0,1,0,0,0,0,1,1,0,"176,361"
Santa Rosa,0,0,1,0,0,0,1,0,0,0,
Santee,1,0,0,0,0,0,0,1,0,0,"58,563"
Sapulpa,0,1,0,0,0,0,0,0,1,0,"21,062"
Sarasota,0,1,0,0,0,0,0,0,1,0,
Saratoga County ,1,0,0,0,0,0,1,0,0,0,
Sartell,0,0,1,0,0,0,0,0,1,0,"17,353"
Saugus,1,0,0,0,0,0,1,0,0,0,"28,241"
Sault Ste. Marie,1,0,0,0,0,0,1,0,0,0,"13,630"
Saunders,1,0,0,0,0,0,0,0,0,1,
Savage,1,0,1,0,0,0,1,0,1,0,"31,491"
Schodack Town,1,0,0,0,0,0,0,1,0,0,"11,685"
Schoolcraft,1,0,0,0,0,0,0,1,0,0,"1,571"
Schulenburg,0,1,0,0,0,0,0,0,1,0,"2,943"
Scotia Village,0,0,1,0,0,0,1,0,0,0,"7,651"
Scott County,0,2,0,0,0,0,0,0,1,1,
Scottsdale,2,1,1,0,0,0,4,0,0,0,"251,840"
Scottsville,1,0,0,0,0,0,0,1,0,0,"4,446"
Seabrook,1,0,0,0,0,0,0,1,0,0,"8,816"
Seattle,120,45,57,0,1,11,46,66,63,59,"721,365"
Sedgwick,1,0,0,0,0,0,0,0,0,1,"1,695"
Sedgwick,2,0,0,0,0,0,0,0,1,1,
Selinsgrove,1,0,0,0,0,0,0,1,0,0,"5,930"
Seminole,1,0,1,0,0,0,0,0,1,1,
Seven Points,1,0,1,0,0,0,1,0,0,1,"1,462"
Seymour,1,0,0,0,0,0,0,0,1,0,"3,441"
Sharon,0,0,1,0,0,0,1,0,0,0,"18,419"
Shawnee,1,0,0,0,0,0,0,1,0,0,"65,683"
Shawnee,2,1,1,0,0,0,0,2,0,2,
Sheboygan,1,0,0,0,0,0,0,0,0,1,"48,595"
Shelby,1,0,0,0,0,0,0,1,0,0,
Shelby,1,0,0,0,0,0,0,0,1,0,"8,987"
Shelby,0,0,1,0,0,0,1,0,0,0,
Shelby,2,0,0,0,0,0,0,0,2,0,
Shelby Township,4,2,0,0,0,0,2,1,2,1,"79,217"
Shelbyville,2,0,0,1,0,0,0,1,1,1,"15,758"
Shepherd University,2,1,0,0,0,0,1,0,0,2,"3,779"
Sheridan,0,0,1,0,0,0,0,0,1,0,"18,036"
Sherwood,0,1,0,0,0,0,0,0,1,0,"19,473"
Shiawassee County,3,0,0,0,0,0,0,2,1,0,
Shively,2,0,0,0,0,0,0,1,0,1,"15,830"
Shoreline,1,0,1,0,0,0,1,0,1,0,"55,703"
Shreveport,1,0,0,0,0,0,0,0,0,1,"193,937"
Shrewsbury,0,1,0,0,0,0,0,0,1,0,"36,974"
Shrewsbury,0,1,0,0,0,0,0,1,0,0,"4,178"
Sidney,0,0,1,0,0,0,0,1,0,0,"20,466"
Siler City,3,0,0,0,0,0,1,0,1,1,"8,531"
Silsbee,1,0,0,0,0,0,0,0,1,0,"6,747"
Simi Valley,0,2,1,0,0,0,1,0,2,0,"126,635"
Simpson,1,0,0,0,0,0,0,1,0,0,
Sioux Falls,1,2,2,0,0,0,2,2,0,1,"177,888"
Skagit,1,2,0,0,0,0,2,0,1,0,
Skamania,1,0,0,0,0,0,0,1,0,0,
Skippack ,1,1,0,0,0,0,0,1,0,1,
Skokie,1,0,0,0,0,0,0,1,0,0,"64,167"
Smyrna,0,0,1,0,0,0,0,0,0,1,"50,091"
Snohomish,6,2,1,0,0,0,2,2,3,2,
Soda Springs,1,0,0,0,0,0,0,0,0,1,"2,970"
Solano,1,0,0,0,0,0,0,0,0,1,
Somerville,6,2,1,1,0,0,3,3,1,2,"82,326"
Sonoma,4,0,1,0,0,0,2,2,1,0,
South Bend,3,0,0,0,0,0,2,,0,1,"101,857"
South Brunswick Township,1,2,1,0,0,0,2,0,1,1,"46,280"
South Burlington,1,0,0,0,0,0,0,1,0,0,"19,146"
South Central Kentucky Drug Task Force,3,0,0,0,0,0,0,0,3,0,
South Euclid,0,0,0,1,0,0,0,0,1,0,"21,628"
South Gate,1,0,0,0,0,0,1,0,0,0,"95,717"
South Jordan,2,2,0,0,0,0,1,1,1,1,"72,533"
South Lake Tahoe,1,0,4,0,0,0,4,1,0,0,"21,768"
South Milwaukee,1,0,0,0,0,0,1,0,0,0,"21,039"
South Ogden,0,1,0,0,0,0,0,0,1,0,"17,177"
South Orange Village,4,1,1,0,0,0,3,0,1,2,"16,407"
South Plainfield,1,0,0,0,0,0,1,0,0,0,"24,458"
South Plains College,0,0,1,0,0,0,0,0,0,1,"9,478"
South River,1,0,0,0,0,0,0,1,0,0,"16,399"
South Salt Lake,1,0,0,0,0,0,0,0,1,0,"24,811"
South San Francisco,1,0,1,0,0,0,0,0,0,2,"67,533"
South Sioux City,2,0,0,0,0,0,1,0,0,1,"13,078"
Southampton Town,1,1,1,0,0,0,1,0,1,1,"50,987"
Southbridge,0,1,0,0,0,0,0,1,0,0,"16,860"
Southfield,2,3,0,0,0,0,2,0,2,1,"73,324"
Southgate,4,0,0,0,0,0,0,0,0,4,"28,939"
Southington,1,0,0,0,0,0,0,1,0,0,"43,769"
Sparta,1,0,0,0,0,0,0,0,1,0,"4,370"
Spearfish,1,0,0,0,0,0,1,0,0,0,"11,697"
Spirit Lake,1,0,0,0,0,0,0,0,0,1,"2,207"
Spokane,22,2,3,0,1,0,16,8,0,4,"217,066"
Spokane,8,3,0,0,0,0,3,4,3,1,
Spokane Valley,9,3,2,0,0,0,1,4,5,4,"97,430"
Spotsylvania,2,3,2,0,0,0,2,3,2,0,
Spring Lake Park,1,0,0,0,0,0,1,0,0,0,"6,482"
Spring Valley Village,0,1,0,0,0,0,0,1,0,0,"32,795"
Springfield,2,0,1,0,0,0,0,0,3,0,"115,568"
Springfield,5,1,1,0,0,1,4,2,1,1,"154,562"
Springfield,1,0,0,0,0,0,0,0,0,1,"62,318"
Springfield Technical Community College,3,0,0,0,0,0,0,0,0,3,"5,622"
"Springfield Township, Hamilton County",1,0,2,0,0,1,0,1,0,3,"36,571"
"Springfield Township, Summit County",1,0,0,0,0,0,1,0,0,0,"14,434"
