2,Anchorage,AK,"Anchorage, AK",recreational
8,Birmingham,AL,"Birmingham, AL",illegal
38,Huntsville,AL,"Huntsville, AL",illegal
59,Mobile,AL,"Mobile, AL",illegal
60,Montgomery,AL,"Montgomery, AL",illegal
93,Tuscaloosa,AL,"Tuscaloosa, AL",illegal
48,Little Rock,AR,"Little Rock, AR",medical
68,Phoenix,AZ,"Phoenix, AZ",medical
91,Tucson,AZ,"Tucson, AZ",medical
31,Fresno-Bakersfield,CA,"Fresno-Bakersfield, CA",recreational
49,Los Angeles,CA,"Los Angeles, CA",recreational
76,Sacramento,CA,"Sacramento, CA",recreational
79,San Diego,CA,"San Diego, CA",recreational
80,San Francisco,CA,"San Francisco, CA",recreational
18,Colorado Springs,CO,"Colorado Springs, CO",legal
25,Denver,CO,"Denver, CO",legal
35,Hartford,CT,"Hartford, CT",medical
94,Washington,DC,"Washington, DC",legal
41,Jacksonville,FL,"Jacksonville, FL",medical
56,Miami,FL,"Miami, FL",medical
66,Orlando,FL,"Orlando, FL",medical
88,Tallahassee,FL,"Tallahassee, FL",medical
89,Tampa,FL,"Tampa, FL",medical
3,Atlanta,GA,"Atlanta, GA",illegal
4,Augusta,GA,"Augusta, GA",illegal
20,Columbus,GA,"Columbus, GA",illegal
52,Macon,GA,"Macon, GA",illegal
81,Savannah,GA,"Savannah, GA",illegal
36,Honolulu,HI,"Honolulu, HI",medical
26,Des Moines,IA,"Des Moines, IA",illegal
9,Boise,ID,"Boise, ID",illegal
39,Idaho Falls,ID,"Idaho Falls, ID",illegal
14,Chicago,IL,"Chicago, IL",medical
30,Fort Wayne,IN,"Fort Wayne, IN",illegal
40,Indianapolis,IN,"Indianapolis, IN",illegal
95,Wichita,KS,"Wichita, KS",illegal
46,Lexington,KY,"Lexington, KY",illegal
50,Louisville,KY,"Louisville, KY",illegal
7,Baton Rouge,LA,"Baton Rouge, LA",medical
62,New Orleans,LA,"New Orleans, LA",medical
83,Shreveport,LA,"Shreveport, LA",medical
10,Boston,MA,"Boston, MA",legal
6,Baltimore,MD,"Baltimore, MD",medical
27,Detroit,MI,"Detroit, MI",legal
32,Grand Rapids,MI,"Grand Rapids, MI",legal
58,Minneapolis,MN,"Minneapolis, MN",medical
42,Kansas City,MO,"Kansas City, MO",medical
85,Springfield,MO,"Springfield, MO",medical
86,St. Louis,MO,"St. Louis, MO",medical
12,Charlotte,NC,"Charlotte, NC",illegal
29,Fayetteville,NC,"Fayetteville, NC",illegal
33,Greensboro,NC,"Greensboro, NC",illegal
72,Raleigh,NC,"Raleigh, NC",illegal
47,Lincoln,NE,"Lincoln, NE",illegal
65,Omaha,NE,"Omaha, NE",illegal
1,Albuquerque,NM,"Albuquerque, NM",medical
45,Las Vegas,NV,"Las Vegas, NV",legal
73,Reno,NV,"Reno, NV",legal
0,Albany,NY,"Albany, NY",medical
11,Buffalo,NY,"Buffalo, NY",medical
63,New York City,NY,"New York City, NY",medical
75,Rochester,NY,"Rochester, NY",medical
87,Syracuse,NY,"Syracuse, NY",medical
15,Cincinnati,OH,"Cincinnati, OH",medical
17,Cleveland,OH,"Cleveland, OH",medical
21,Columbus,OH,"Columbus, OH",medical
24,Dayton,OH,"Dayton, OH",medical
90,Toledo,OH,"Toledo, OH",medical
64,Oklahoma City,OK,"Oklahoma City, OK",medical
92,Tulsa,OK,"Tulsa, OK",medical
54,Medford,OR,"Medford, OR",legal
70,Portland,OR,"Portland, OR",legal
67,Philadelphia,PA,"Philadelphia, PA",medical
69,Pittsburgh,PA,"Pittsburgh, PA",medical
71,Providence,RI,"Providence, RI",medical
19,Columbia,SC,"Columbia, SC",illegal
34,Greenville,SC,"Greenville, SC",illegal
13,Chattanooga,TN,"Chattanooga, TN",illegal
16,Clarksville,TN,"Clarksville, TN",illegal
43,Knoxville,TN,"Knoxville, TN",illegal
55,Memphis,TN,"Memphis, TN",illegal
61,Nashville,TN,"Nashville, TN",illegal
5,Austin,TX,"Austin, TX",illegal
22,Corpus Christi,TX,"Corpus Christi, TX",illegal
23,Dallas,TX,"Dallas, TX",illegal
28,El Paso,TX,"El Paso, TX",illegal
37,Houston,TX,"Houston, TX",illegal
44,Laredo,TX,"Laredo, TX",illegal
51,Lubbock,TX,"Lubbock, TX",illegal
78,San Antonio,TX,"San Antonio, TX",illegal
77,Salt Lake City,UT,"Salt Lake City, UT",medical
74,Richmond-Norfolk,VA,"Richmond-Norfolk, VA",illegal
82,Seattle,WA,"Seattle, WA",legal
84,Spokane,WA,"Spokane, WA",legal
53,Madison,WI,"Madison, WI",illegal
57,Milwaukee,WI,"Milwaukee, WI",illegal