,City
0,Albany
1,Albuquerque
2,Anchorage
3,Atlanta
4,Augusta
5,Austin
6,Baltimore
7,Baton Rouge
8,Birmingham
9,Boise
10,Boston
11,Buffalo
12,Charlotte
13,Chattanooga
14,Chicago
15,Cincinnati
16,Clarksville
17,Cleveland
18,Colorado Springs
19,Columbia
20,Columbus
21,Columbus
22,Corpus Christi
23,Dallas
24,Dayton
25,Denver
26,Des Moines
27,Detroit
28,El Paso
29,Fayetteville
30,Fort Wayne
31,Fresno-Bakersfield
32,Grand Rapids
33,Greensboro
34,Greenville
35,Hartford
36,Honolulu
37,Houston
38,Huntsville
39,Idaho Falls
40,Indianapolis
41,Jacksonville
42,Kansas City
43,Knoxville
44,Laredo
45,Las Vegas
46,Lexington
47,Lincoln
48,Little Rock
49,Los Angeles
50,Louisville
51,Lubbock
52,Macon
53,Madison
54,Medford
55,Memphis
56,Miami
57,Milwaukee
58,Minneapolis
59,Mobile
60,Montgomery
61,Nashville
62,New Orleans
63,New York City
64,Oklahoma City
65,Omaha
66,Orlando
67,Philadelphia
68,Phoenix
69,Pittsburgh
70,Portland
71,Providence
72,Raleigh
73,Reno
74,Richmond-Norfolk
75,Rochester
76,Sacramento
77,Salt Lake City
78,San Antonio
79,San Diego
80,San Francisco
81,Savannah
82,Seattle
83,Shreveport
84,Spokane
85,Springfield
86,St. Louis
87,Syracuse
88,Tallahassee
89,Tampa
90,Toledo
91,Tucson
92,Tulsa
93,Tuscaloosa
94,Washington
95,Wichita