City,State,County,City,Total
Albany,nan,nan,nan,nan
Albuquerque,5.13%,0.94%,0.94%,7.00%
Anchorage,0.00%,0.00%,0.00%,0.00%
Atlanta,4.00%,3.00%,1.00%,8.00%
Augusta,nan,nan,nan,nan
Austin,6.25%,1.00%,1.00%,8.25%
Baltimore,6.00%,0.00%,0.00%,6.00%
Baton Rouge,4.00%,5.00%,0.00%,9.00%
Birmingham,4.00%,2.00%,4.00%,10.00%
Boise,6.00%,0.00%,0.00%,6.00%
Boston,6.25%,0.00%,0.00%,6.25%
Buffalo,4.00%,4.75%,0.00%,8.75%
Charlotte,5.75%,2.50%,0.00%,8.25%
Chattanooga,nan,nan,nan,nan
Chicago,6.25%,2.25%,1.25%,9.75%
Cincinnati,5.50%,1.00%,0.00%,6.50%
Clarksville,nan,nan,nan,nan
Cleveland,5.50%,2.25%,0.00%,7.75%
Colorado Springs,2.90%,2.00%,2.50%,7.40%
Columbia,nan,nan,nan,nan
Columbus,nan,nan,nan,nan
Columbus,5.50%,1.25%,0.00%,6.75%
Corpus Christi,6.25%,0.63%,1.38%,8.25%
Dallas,6.25%,1.00%,1.00%,8.25%
Dayton,nan,nan,nan,nan
Denver,2.90%,1.20%,3.62%,7.72%
Des Moines,nan,nan,nan,nan
Detroit,6.00%,0.00%,0.00%,6.00%
El Paso,6.25%,1.00%,1.00%,8.25%
Fayetteville,nan,nan,nan,nan
Fort Wayne,7.00%,0.00%,0.00%,7.00%
Fresno-Bakersfield,7.25%,1.73%,0.00%,8.98%
Grand Rapids,nan,nan,nan,nan
Greensboro,5.75%,2.00%,0.00%,7.75%
Greenville,nan,nan,nan,nan
Hartford,nan,nan,nan,nan
Honolulu,4.00%,0.00%,0.50%,4.50%
Houston,6.25%,1.00%,1.00%,8.25%
Huntsville,nan,nan,nan,nan
Idaho Falls,,,,
Indianapolis,7.00%,0.00%,0.00%,7.00%
Jacksonville,6.00%,1.00%,0.00%,7.00%
Kansas City,4.23%,1.13%,2.38%,7.73%
Knoxville,nan,nan,nan,nan
Laredo,6.25%,0.75%,1.25%,8.25%
Las Vegas,6.85%,1.25%,0.00%,8.10%
Lexington,6.00%,0.00%,0.00%,6.00%
Lincoln,5.50%,0.00%,1.50%,7.00%
Little Rock,nan,nan,nan,nan
Los Angeles,7.25%,2.00%,0.50%,9.75%
Louisville,6.00%,0.00%,0.00%,6.00%
Lubbock,6.25%,0.50%,1.50%,8.25%
Macon,nan,nan,nan,nan
Madison,5.00%,0.50%,0.00%,5.50%
Medford,,,,
Memphis,7.00%,0.00%,2.25%,9.25%
Miami,6.00%,1.00%,0.00%,7.00%
Milwaukee,5.00%,0.60%,0.00%,5.60%
Minneapolis,6.88%,0.15%,0.75%,7.78%
Mobile,nan,nan,nan,nan
Montgomery,4.00%,2.50%,3.50%,10.00%
Nashville,7.00%,0.00%,2.25%,9.25%
New Orleans,4.00%,5.00%,0.00%,9.00%
New York City,4.00%,0.00%,4.88%,8.88%
Oklahoma City,4.50%,0.00%,3.88%,8.38%
Omaha,5.50%,0.00%,1.50%,7.00%
Orlando,6.00%,0.50%,0.00%,6.50%
Philadelphia,6.00%,0.00%,2.00%,8.00%
Phoenix,6.60%,0.80%,2.00%,9.40%
Pittsburgh,6.00%,1.00%,0.00%,7.00%
Portland,0.00%,0.00%,0.00%,0.00%
Providence,nan,nan,nan,nan
Raleigh,5.75%,2.00%,0.00%,7.75%
Reno,6.85%,0.88%,0.00%,7.73%
Richmond-Norfolk,4.00%,0.00%,1.00%,5.00%
Rochester,4.00%,4.00%,0.00%,8.00%
Sacramento,7.25%,1.50%,0.00%,8.75%
Salt Lake City,nan,nan,nan,nan
San Antonio,6.25%,0.75%,1.13%,8.13%
San Diego,7.25%,1.50%,0.00%,8.75%
San Francisco,7.25%,2.25%,0.00%,9.50%
Savannah,nan,nan,nan,nan
Seattle,6.50%,3.00%,0.00%,9.50%
Shreveport,nan,nan,nan,nan
Spokane,6.50%,1.60%,0.60%,8.70%
Springfield,,,,
St. Louis,4.23%,0.00%,5.27%,9.49%
Syracuse,nan,nan,nan,nan
Tallahassee,nan,nan,nan,nan
Tampa,6.00%,1.00%,0.00%,7.00%
Toledo,5.50%,1.25%,0.00%,6.75%
Tucson,6.60%,0.60%,2.00%,9.20%
Tulsa,4.50%,1.02%,3.00%,8.52%
Tuscaloosa,nan,nan,nan,nan
Washington,6.00%,0.00%,0.00%,6.00%
Wichita,6.30%,1.00%,0.00%,7.30%
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6.85%,0.00%,8.10%,53,
7.25%,0.00%,9.75%,3,
7.25%,0.00%,9.25%,,