State,Cannabis_legality
"Anchorage, AK",recreational
"Birmingham, AL",illegal
"Huntsville, AL",illegal
"Mobile, AL",illegal
"Montgomery, AL",illegal
"Tuscaloosa, AL",illegal
"Little Rock, AR",medical
"Phoenix, AZ",medical
"Tucson, AZ",medical
"Fresno-Bakersfield, CA",recreational
"Los Angeles, CA",recreational
"Sacramento, CA",recreational
"San Diego, CA",recreational
"San Francisco, CA",recreational
"Colorado Springs, CO",legal
"Denver, CO",legal
"Hartford, CT",medical
"Washington, DC",legal
"Jacksonville, FL",medical
"Miami, FL",medical
"Orlando, FL",medical
"Tallahassee, FL",medical
"Tampa, FL",medical
"Atlanta, GA",illegal
"Augusta, GA",illegal
"Columbus, GA",illegal
"Macon, GA",illegal
"Savannah, GA",illegal
"Honolulu, HI",medical
"Des Moines, IA",illegal
"Boise, ID",illegal
"Idaho Falls, ID",illegal
"Chicago, IL",medical
"Fort Wayne, IN",illegal
"Indianapolis, IN",illegal
"Wichita, KS",illegal
"Lexington, KY",illegal
"Louisville, KY",illegal
"Baton Rouge, LA",medical
"New Orleans, LA",medical
"Shreveport, LA",medical
"Boston, MA",legal
"Baltimore, MD",medical
"Detroit, MI",legal
"Grand Rapids, MI",legal
"Minneapolis, MN",medical
"Kansas City, MO",medical
"Springfield, MO",medical
"St. Louis, MO",medical
"Charlotte, NC",illegal
"Fayetteville, NC",illegal
"Greensboro, NC",illegal
"Raleigh, NC",illegal
"Lincoln, NE",illegal
"Omaha, NE",illegal
"Albuquerque, NM",medical
"Las Vegas, NV",legal
"Reno, NV",legal
"Albany, NY",medical
"Buffalo, NY",medical
"New York City, NY",medical
"Rochester, NY",medical
"Syracuse, NY",medical
"Cincinnati, OH",medical
"Cleveland, OH",medical
"Columbus, OH",medical
"Dayton, OH",medical
"Toledo, OH",medical
"Oklahoma City, OK",medical
"Tulsa, OK",medical
"Medford, OR",legal
"Portland, OR",legal
"Philadelphia, PA",medical
"Pittsburgh, PA",medical
"Providence, RI",medical
"Columbia, SC",illegal
"Greenville, SC",illegal
"Chattanooga, TN",illegal
"Clarksville, TN",illegal
"Knoxville, TN",illegal
"Memphis, TN",illegal
"Nashville, TN",illegal
"Austin, TX",illegal
"Corpus Christi, TX",illegal
"Dallas, TX",illegal
"El Paso, TX",illegal
"Houston, TX",illegal
"Laredo, TX",illegal
"Lubbock, TX",illegal
"San Antonio, TX",illegal
"Salt Lake City, UT",medical
"Richmond-Norfolk, VA",illegal
"Seattle, WA",legal
"Spokane, WA",legal
"Madison, WI",illegal
"Milwaukee, WI",illegal